old_name,new_name
atkis-weg-pfad-steig-linien-wfs,atkis-weg-pfad-steig-linien-wfs-0b3d6dc1
atkis-wohnbaufläche-geschlossen-fläche-wfs,atkis-wohnbauflache-geschlossen-flache-wfs-a4267820
atkis-wohnbaufläche-offen-fläche-wfs,atkis-wohnbauflache-offen-flache-wfs-a0e084f1
aufgrabeverbote-wfs,aufgrabeverbote-wfs-0418b8d1
aufgrabeverbote-wms,aufgrabeverbote-wms-a697f424
ausbildung-gruene-berufe-landwirtschaft-und-gartenbau,ausbildung-gruene-berufe-landwirtschaft-und-gartenbau-1228198
ausländeranteil-2014-v-2-wms,auslanderanteil-2014-v-2-wms-155ef27d
ausländeranteil-2014-wms,auslanderanteil-2014-wms-f97089ab
ausländeranteil-2016-v-2-wms,auslanderanteil-2016-v-2-wms-45975eaa
ausländeranteil-2016-wms,auslanderanteil-2016-wms-c803221e
ausländeranteil-veränderung-2013-2014-v-2-wms,auslanderanteil-veranderung-2013-2014-v-2-wms-1e492385
ausländeranteil-veränderung-2013-2014-wms,auslanderanteil-veranderung-2013-2014-wms-99b31ad9
ausländeranteil-veränderung-2015-2016-v-2-wms,auslanderanteil-veranderung-2015-2016-v-2-wms-d054dae1
ausländeranteil-veränderung-2015-2016-wms,auslanderanteil-veranderung-2015-2016-wms-4892151b
ausländerinnen-und-ausländer-2018-v2-wms,auslanderinnen-und-auslander-2018-v2-wms-c0429f0b
ausländerinnen-und-ausländer-2018-wms,auslanderinnen-und-auslander-2018-wms-df76f1b7
ausländerinnen-und-ausländer-2020-v2-wms,auslanderinnen-und-auslander-2020-v2-wms-e7834405
ausländerinnen-und-ausländer-2020-wms,auslanderinnen-und-auslander-2020-wms-5ef5844a
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122015,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2015
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122016,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2016
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122017,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2017
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122018,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2018
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122019,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2019
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122020,auslandische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsraumen-am-31-12-2020
ausländische-transferbeziehende-sgb-ii-2014-v-2-wms,auslandische-transferbeziehende-sgb-ii-2014-v-2-wms-b7507bca
ausländische-transferbeziehende-sgb-ii-2014-wms,auslandische-transferbeziehende-sgb-ii-2014-wms-2f49bb4d
ausländische-transferbeziehende-sgb-ii-2016-v-2-wms,auslandische-transferbeziehende-sgb-ii-2016-v-2-wms-5daf1e24
ausländische-transferbeziehende-sgb-ii-2016-wms,auslandische-transferbeziehende-sgb-ii-2016-wms-6bc3a954
ausländische-transferbeziehende-sgb-ii-2018-v2-wms,auslandische-transferbeziehende-sgb-ii-2018-v2-wms-9bd5d9b3
ausländische-transferbeziehende-sgb-ii-2018-wms,auslandische-transferbeziehende-sgb-ii-2018-wms-8cc984cf
ausländische-transferbeziehende-sgb-ii-2020-v2-wms,auslandische-transferbeziehende-sgb-ii-2020-v2-wms-fb9d5a25
ausländische-transferbeziehende-sgb-ii-2020-wms,auslandische-transferbeziehende-sgb-ii-2020-wms-9b2e6726
ausleihen-öffentlichen-bibliotheken-pankow-2022-und-2023,ausleihen-in-offentlichen-bibliotheken-in-pankow-2022
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122001,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2001
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122002,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2002
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122003,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2003
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122004,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2004
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122005,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2005
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122006,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2006
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122007,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2007
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122008,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2008
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122009,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2009
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122010,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2010
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122011,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2011
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122012,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2012
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122013,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2013
ausländische-einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122014,ausl-ndische-einwohnerinnen-und-einwohner-in-berlin-in-lor-planungsr-umen-am-31-12-2014
austauschhäufigkeit-des-bodenwassers-1990-umweltatlas-wms,austauschhaufigkeit-des-bodenwassers-1990-umweltatlas-wms-a9fe2711
austauschhäufigkeit-des-bodenwassers-2001-umweltatlas-wms,austauschhaufigkeit-des-bodenwassers-2001-umweltatlas-wms-35ab1db1
austauschhäufigkeit-des-bodenwassers-2005-umweltatlas-wms,austauschhaufigkeit-des-bodenwassers-2005-umweltatlas-wms-ce318d0e
austauschhäufigkeit-des-bodenwassers-2010-umweltatlas-wms,austauschhaufigkeit-des-bodenwassers-2010-umweltatlas-wms-6f159ddc
austauschhäufigkeit-des-bodenwassers-2015-umweltatlas-wms,austauschhaufigkeit-des-bodenwassers-2015-umweltatlas-wms-8e737cf6
austauschhäufigkeit-des-bodenwassers-2020-umweltatlas-wfs,austauschhaufigkeit-des-bodenwassers-2020-umweltatlas-wfs-11e8008d
austauschhäufigkeit-des-bodenwassers-2020-umweltatlas-wms,austauschhaufigkeit-des-bodenwassers-2020-umweltatlas-wms-18625f0b
aus-und-einfuhr-außenhandel,aus-und-einfuhr-aubenhandel
badegewässerqualität-wfs,badegewasserqualitat-wfs-6ba85d36
badegewässerqualität-wms,badegewasserqualitat-wms-9fe3ee19
